Campaign,Ad Group,RSA Name,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Notes
Bay Area Deck,Deck Repair and Maintenance,Deck_Repair_Maintenance_RSA_1,"Professional Deck Restoration","Deck Repairing Experts","Fix Faded & Damaged Decks","Deck Restoration Without Replacement","Deck Maintenance Done Right","Extend the Life of Your Deck","Trusted Deck Repair Company","Restore faded, weathered, or damaged wood decks. Professional repair, refinishing, and sealing.","Don’t replace your deck. We restore and preserve wood decks for long-lasting protection.","Expert deck restoration for redwood, IPE, and hardwood decks. Guaranteed workmanship.","Deck repair and maintenance done right. Proper prep, quality finishes, and lasting performance.","deck","repair","Core repair/maintenance RSA for generic deck repair/stain/seal keywords."
Bay Area Deck,Deck Finishing and Protection,Deck_Finishing_Protection_RSA_1,"Deck Sealing & Protection","Long-Lasting Deck Restoration","Premium Deck Restoration Services","Weathered Deck? We Restore It","Protect Your Wood Deck","Revive Your Outdoor Deck","Beautiful, Durable Deck Finish","Protect and seal your wood deck with professional refinishing and high-quality coatings.","Refinishing and sealing that extends the life of your deck and keeps it looking great longer.","We sand, clean, stain, and seal decks using proven methods and premium products.","Restore color and protect against weather, sun, and moisture with proper deck finishing.","deck","sealing","Finishing/protection-focused RSA for sealing/staining/finishing intent."
Bay Area Deck,Premium Wood Deck Restoration,Deck_Premium_Wood_RSA_1,"Redwood & IPE Deck Specialists","Expert Wood Deck Care","Premium Deck Restoration Services","Hardwood Deck Restoration Pros","Restore Your Wood Deck","Deck Restoration Without Replacement","Long-Lasting Deck Protection","Specialized deck restoration for premium species like redwood, cedar, IPE, and teak.","Keep your high-end hardwood deck looking its best with expert refinishing and protection.","We carefully restore hardwood decks using species-appropriate products and methods.","Protect your investment with premium restoration for redwood, IPE, cedar, and teak decks.","deck","hardwood","Species/premium wood RSA for redwood/cedar/ipe/teak deck queries."
Bay Area Siding,Siding Repair and Maintenance,Siding_Repair_Maintenance_RSA_1,"Wood Siding Restoration Experts","Repair & Restore Wood Siding","Fix Faded & Worn Siding","Exterior Wood Siding Care","Professional Siding Restoration","Preserve Your Home’s Siding","Siding Restoration Specialists","Restore weathered wood siding without full replacement. Repair, refinish, and protect your exterior.","Professional wood siding restoration for cedar, redwood, and hardwood surfaces.","Fix faded, worn siding and extend its life with proper preparation and sealing.","Improve curb appeal and protect your home with expert wood siding repair and maintenance.","siding","repair","Core repair/maintenance RSA for wood siding repair/restoration intent."
Bay Area Siding,Siding Finishing and Protection,Siding_Finishing_Protection_RSA_1,"Siding Refinishing & Sealing","Long-Lasting Siding Protection","Premium Wood Siding Services","Restore Weathered Wood Siding","Protect Your Exterior Wood Siding","Clean, Refinish & Seal Siding","Restore Curb Appeal Naturally","Clean, refinish, and seal wood siding to restore natural beauty and protect against weather.","Professional finishing focused on durability, appearance, and long-term siding protection.","We use proven prep and finishing systems to keep your wood siding looking great for years.","Protect your wood siding from sun, rain, and moisture with high-quality finishes and sealers.","siding","refinishing","Finishing/protection RSA for staining/sealing/finishing siding keywords."
Bay Area Siding,Premium Wood Siding,Siding_Premium_Wood_RSA_1,"Cedar & Redwood Siding Repair","Premium Wood Siding Services","IPE & Hardwood Siding Care","Wood Siding Restoration Experts","Restore Premium Wood Siding","Exterior Wood Siding Specialists","Preserve Natural Wood Siding","Premium restoration for cedar, redwood, IPE, and other hardwood siding materials.","We carefully restore and protect high-end wood siding with species-appropriate finishes.","Extend the life of premium wood siding with proper repair, refinishing, and sealing.","Keep your home’s natural wood siding beautiful and protected for years with expert care.","siding","premium","Species/premium RSA for redwood/cedar/ipe siding searches."
Bay Area Structures,Fence Repair and Maintenance,Structures_Fence_Repair_Maintenance_RSA_1,"Fence & Outdoor Wood Restoration","Repair Weathered Wood Fences","Restore Fences Without Replacement","Professional Fence Restoration","Wood Fence Repair Specialists","Extend Fence Life & Appearance","Outdoor Wood Care Experts","Repair and restore weathered wood fences so they look good and last longer.","We fix damaged, leaning, or faded fences and bring them back to life.","Don’t replace your wood fence. We repair, refinish, and preserve it for long-term use.","Professional fence repair and maintenance with proper prep, repair, and finishing.","fence","repair","Fence repair/maintenance RSA for wood fence keywords."
Bay Area Structures,Fence Finishing and Protection,Structures_Fence_Finishing_Protection_RSA_1,"Wood Fence Refinishing","Fence Sealing & Protection","Restore Weathered Wood Fences","Premium Fence Staining Services","Long-Lasting Fence Protection","Revive Your Wood Fence","Protect Exterior Wood Fencing","Refinish and seal wood fences to restore color and protect against weather damage.","We clean, sand, and apply high-quality finishes for long-lasting fence protection.","Bring faded fences back to life with professional staining and sealing services.","Protect your fence from sun, rain, and moisture with durable coatings and proper prep.","fence","staining","Finishing/protection RSA for fence staining/sealing intent."
Bay Area Structures,Premium Wood Fence Restoration,Structures_Premium_Wood_Fence_RSA_1,"Premium Wood Fence Restoration","Redwood & Cedar Fence Experts","Hardwood Fence Refinishing","Restore High-End Wood Fences","Exterior Wood Fence Specialists","Protect Premium Wood Fencing","Long-Lasting Fence Restoration","Specialized restoration for redwood, cedar, IPE, and hardwood fences.","We carefully refinish premium fences with the right products for each wood species.","Protect your investment in premium wood fencing with expert repair and refinishing.","Restore color, character, and protection to high-end wood fences with professional care.","fence","hardwood","Species/premium RSA for redwood/cedar/ipe fence searches."
Bay Area Structures,Teak Furniture Restoration,Structures_Teak_Furniture_RSA_1,"Patio Furniture Restoration Experts","Teak & Wood Furniture Refinishing","Restore Outdoor Wood Furniture","Premium Teak Furniture Care","Refinish Weathered Patio Sets","Exterior Furniture Restoration","Protect Outdoor Wood Furniture","Restore and refinish teak and outdoor wood furniture to like-new condition.","Professional refinishing for premium outdoor furniture using appropriate oils and finishes.","We clean, sand, and refinish weathered patio furniture for a fresh, renewed look.","Protect your investment in teak and hardwood furniture with expert restoration services.","furniture","teak","Teak/patio furniture RSA aligned to furniture restoration keywords."
Bay Area Pressure,Pressure Washing Hardscape,Pressure_Hardscape_RSA_1,"Professional Pressure Washing Services","Clean Concrete, Stone & Hardscape","Refresh Driveways, Patios & Walkways","Remove Dirt, Stains & Mildew","Hardscape Pressure Washing Experts","Restore Curb Appeal for Hard Surfaces","Exterior Surface Cleaning Pros","Pressure washing for concrete, stone, and hardscape surfaces to remove dirt and stains.","We clean driveways, walkways, patios, and other hard surfaces with professional equipment.","Improve curb appeal by removing mildew, grime, and weather buildup from hardscape.","Exterior surface cleaning done carefully to protect adjacent wood and landscaping.","pressure","hardscape","Hardscape-only RSA for pressure washing concrete/stone/patio queries."
Bay Area Exterior Wood (Catch-all),Exterior Wood Restoration and Preservation,Catchall_Exterior_Wood_RSA_1,"Exterior Wood Restoration Experts","Restore Weathered Exterior Wood","Wood Restoration Without Replacement","Repair & Preserve Exterior Wood","Long-Lasting Wood Protection","Professional Wood Refinishing","Trusted Exterior Wood Specialists","Professional exterior wood restoration to repair, refinish, and protect wood surfaces.","Restore weathered exterior wood with proven methods and long-lasting finishes.","Expert care for exterior wood structures and surfaces. Preserve wood the right way.","Premium exterior wood restoration focused on durability, appearance, and protection.","exterior","wood","Catch-all RSA for ambiguous exterior wood restoration/refinishing searches."
