Card Name,Notes,List Name,Members,Low (hrs),High (hrs),Actual (hrs),Status,Labels
"Kickoff meeting - align on scope, URLs, timeline","","Phase 1 - Setup","Brent",0.75,1.5,0,"Not Started","High Priority,Setup"
"Confirm LP URL structure with Web developer","/residential/deck/, etc.","Phase 1 - Setup","Brent",0.75,1.5,0,"Not Started","High Priority,Setup,Web"
"Confirm Salesforce field mapping with SFDC dev","Review 03_04_web-php-sfdc-field-contract.md","Phase 1 - Setup","Brent",0.75,2.25,0,"Not Started","High Priority,Setup,Salesforce"
"Verify Google Ads conversion tracking","Confirm existing tracking works","Phase 1 - Setup","Aksha",0.75,1.5,0,"Not Started","High Priority,Setup,Google Ads"
"Create Elementor global components","Reusable across all LPs","Phase 1 - Web Build","Web",3,6,0,"Not Started","High Priority,Web"
"Build estimate request form with hidden UTM fields","Per 02_17_lp-spec.md","Phase 1 - Web Build","Web",1.5,3,0,"Not Started","High Priority,Web,Form"
"Build LP: /residential/deck/","From 02_08_lp-deck-residential.md","Phase 1 - Web Build","Web",1.5,3,0,"Not Started","Web,Landing Page"
"Build LP: /residential/siding/","From 02_10_lp-siding-residential.md","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /residential/wood-structures/","","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /residential/pressure/","From 02_12_lp-pressure-residential.md","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /residential/ (catch-all)","From 02_14_lp-exteriorwood-residential.md","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Mobile optimization & QA for LPs","Lighthouse 80+ target","Phase 1 - Web Build","Web",1.5,3,0,"Not Started","High Priority,Web,QA"
"Thank-you page setup","","Phase 1 - Web Build","Web",0.75,1.5,0,"Not Started","Web,Landing Page"
"Add/verify custom fields for UTMs","utm_source__c, utm_campaign__c, etc.","Phase 1 - Salesforce","SFDC",0.75,2.25,0,"Not Started","High Priority,Salesforce"
"Add custom fields for surfaces and property type","Multi-select, picklist","Phase 1 - Salesforce","SFDC",0.75,1.5,0,"Not Started","High Priority,Salesforce"
"Configure PHP handler for web-to-lead","Map form → SFDC fields","Phase 1 - Salesforce","SFDC",1.5,3,0,"Not Started","High Priority,Salesforce"
"Test form submission to lead creation","","Phase 1 - Salesforce","SFDC",0.75,1.5,0,"Not Started","Salesforce,QA"
"Verify UTM fields populate correctly","","Phase 1 - Salesforce","SFDC",0.75,1.5,0,"Not Started","Salesforce,QA"
"Pause/archive old underperforming campaigns","Keep for reference","Phase 1 - Google Ads","Aksha",0.5,0.75,0,"Not Started","Google Ads"
"Create campaign structure (5 campaigns)","Bay Area Deck, Siding, Structures, Pressure, Catch-All","Phase 1 - Google Ads","Aksha",1.5,3,0,"Not Started","High Priority,Google Ads"
"Create ad groups per campaign","~15 ad groups total","Phase 1 - Google Ads","Aksha",2.25,3.75,0,"Not Started","High Priority,Google Ads"
"Add keywords from campaign-master-phase-1.csv","47 keywords","Phase 1 - Google Ads","Aksha",1.5,2.25,0,"Not Started","High Priority,Google Ads"
"Add negative keywords (campaign + ad group level)","","Phase 1 - Google Ads","Aksha",1.5,2.25,0,"Not Started","High Priority,Google Ads"
"Write RSA ad copy","Headlines, descriptions","Phase 1 - Google Ads","Aksha",3,6,0,"Not Started","High Priority,Google Ads"
"Configure geo targeting (Bay Area)","","Phase 1 - Google Ads","Aksha",0.75,1.5,0,"Not Started","Google Ads"
"Set initial budgets and bidding strategy","Manual CPC recommended initially","Phase 1 - Google Ads","Aksha",0.75,1.5,0,"Not Started","Google Ads"
"End-to-end test: Ad → LP → Form → SFDC","Per 03_07_qa-matrix.md","Phase 1 - QA & Launch","Brent",1.5,3,0,"Not Started","Urgent,QA"
"Test each surface LP (5 tests)","Verify lead appears with correct data","Phase 1 - QA & Launch","Web",0.75,1.5,0,"Not Started","High Priority,QA"
"Fix any issues found","Buffer for fixes","Phase 1 - QA & Launch","Brent",1.5,6,0,"Not Started","High Priority,QA"
"Final review and approval","","Phase 1 - QA & Launch","Brent",0.75,1.5,0,"Not Started","High Priority,QA"
"Go live Phase 1","Enable campaigns","Phase 1 - QA & Launch","Aksha",0.5,0.75,0,"Not Started","Urgent,Launch"
"Phase 1 daily monitoring","Check for issues, spend","Phase 1 - Learning Period","Aksha",2,4,0,"Not Started","Monitoring"
"Phase 1 weekly optimization review","Query review, negative additions","Phase 1 - Learning Period","Aksha",1.5,3,0,"Not Started","Optimization"
"Phase 1 data checkpoint - Ready for Phase 2?","Review data, align on go/no-go","Phase 1 - Learning Period","Brent",0.75,1.5,0,"Not Started","High Priority,Milestone"
"Duplicate Bay Area campaigns to Fringe","4-5 Fringe campaigns","Phase 2 - Google Ads","Aksha",1.5,3,0,"Not Started","High Priority,Google Ads"
"Adjust geo targeting for Fringe","","Phase 2 - Google Ads","Aksha",0.75,1.5,0,"Not Started","Google Ads"
"Update campaign names for Fringe","","Phase 2 - Google Ads","Aksha",0.5,0.75,0,"Not Started","Google Ads"
"Set Fringe-specific budgets","Lower budget initially","Phase 2 - Google Ads","Aksha",0.5,0.75,0,"Not Started","Google Ads"
"Review/adjust keywords for Fringe if needed","","Phase 2 - Google Ads","Aksha",0.75,1.5,0,"Not Started","Google Ads"
"Verify LPs work for Fringe traffic","Same LPs, no new builds","Phase 2 - Web & SFDC","Web",0.5,0.75,0,"Not Started","Web,QA"
"Add utm_geo tracking field","bay_area vs fringe","Phase 2 - Web & SFDC","SFDC",0.75,1.5,0,"Not Started","Salesforce"
"Test Fringe ZIP code submission","","Phase 2 - Web & SFDC","SFDC",0.5,0.75,0,"Not Started","Salesforce,QA"
"Test Fringe campaigns → LP → SFDC","","Phase 2 - QA & Launch","Brent",0.75,1.5,0,"Not Started","High Priority,QA"
"Verify geo reporting in SFDC","","Phase 2 - QA & Launch","SFDC",0.5,0.75,0,"Not Started","Salesforce"
"Go live Phase 2 (Fringe campaigns)","","Phase 2 - QA & Launch","Aksha",0.5,0.75,0,"Not Started","Urgent,Launch"
"Phase 2 monitoring for Fringe issues","Job size, routing concerns","Phase 2 - Learning Period","Aksha",1.5,3,0,"Not Started","Monitoring"
"Phase 2 optimization review","Budget allocation between geos","Phase 2 - Learning Period","Aksha",1.5,3,0,"Not Started","Optimization"
"Phase 2 data checkpoint - Ready for Phase 3?","Review data, align on go/no-go","Phase 2 - Learning Period","Brent",0.75,1.5,0,"Not Started","High Priority,Milestone"
"Build LP: /commercial/deck/","From 02_09_lp-deck-commercial.md","Phase 3 - Web Build","Web",1.5,3,0,"Not Started","High Priority,Web,Landing Page"
"Build LP: /commercial/siding/","From 02_11_lp-siding-commercial.md","Phase 3 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /commercial/wood-structures/","","Phase 3 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /commercial/pressure/","From 02_13_lp-pressure-commercial.md","Phase 3 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /commercial/ (catch-all)","From 02_15_lp-exteriorwood-commercial.md","Phase 3 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Update CTA to Request a Proposal on commercial LPs","","Phase 3 - Web Build","Web",0.75,1.5,0,"Not Started","High Priority,Web"
"Mobile optimization & QA for commercial LPs","","Phase 3 - Web Build","Web",1.5,3,0,"Not Started","High Priority,Web,QA"
"Split Bay Area campaigns by persona","5 → 10 campaigns","Phase 3 - Google Ads","Aksha",2.25,3.75,0,"Not Started","High Priority,Google Ads"
"Split Fringe campaigns by persona","4 → 8 campaigns","Phase 3 - Google Ads","Aksha",1.5,3,0,"Not Started","High Priority,Google Ads"
"Update LP URLs in all campaigns","Point to correct persona LP","Phase 3 - Google Ads","Aksha",1.5,2.25,0,"Not Started","High Priority,Google Ads"
"Adjust ad copy for commercial tone","Proposal vs Estimate","Phase 3 - Google Ads","Aksha",2.25,4.5,0,"Not Started","High Priority,Google Ads"
"Set persona-specific budgets","~60% residential, 40% commercial","Phase 3 - Google Ads","Aksha",0.75,1.5,0,"Not Started","Google Ads"
"Add commercial-specific keywords if any","HOA, property management terms","Phase 3 - Google Ads","Aksha",0.75,1.5,0,"Not Started","Google Ads"
"Add utm_persona field","residential vs commercial","Phase 3 - Salesforce","SFDC",0.75,1.5,0,"Not Started","High Priority,Salesforce"
"Verify persona reporting works","","Phase 3 - Salesforce","SFDC",0.75,1.5,0,"Not Started","Salesforce"
"Test commercial form submissions","","Phase 3 - Salesforce","SFDC",0.5,0.75,0,"Not Started","Salesforce,QA"
"Test all residential campaign → LP paths","5 surfaces × 2 geos","Phase 3 - QA & Launch","Brent",0.75,1.5,0,"Not Started","High Priority,QA"
"Test all commercial campaign → LP paths","5 surfaces × 2 geos","Phase 3 - QA & Launch","Brent",0.75,1.5,0,"Not Started","High Priority,QA"
"Verify CTA differences (Estimate vs Proposal)","","Phase 3 - QA & Launch","Web",0.5,0.75,0,"Not Started","QA"
"End-to-end SFDC lead tests (6 variations)","Per 03_07_qa-matrix.md","Phase 3 - QA & Launch","SFDC",0.75,1.5,0,"Not Started","High Priority,QA"
"Fix any Phase 3 issues","","Phase 3 - QA & Launch","Brent",1.5,4.5,0,"Not Started","High Priority,QA"
"Final review and approval for Phase 3","","Phase 3 - QA & Launch","Brent",0.75,1.5,0,"Not Started","High Priority,QA"
"Go live Phase 3","","Phase 3 - QA & Launch","Aksha",0.5,0.75,0,"Not Started","Urgent,Launch"
"Compare residential vs commercial performance","","Phase 3 - Learning Period","Aksha",1.5,3,0,"Not Started","Optimization"
"Persona-specific optimization","","Phase 3 - Learning Period","Aksha",1.5,3,0,"Not Started","Optimization"
"Consider smart bidding transition","If 50+ conversions reached","Phase 3 - Learning Period","Brent",0.75,1.5,0,"Not Started","Optimization"
"Swap placeholder images with new photography","When new photos arrive","Ongoing - Assets","Web",1.5,3,0,"Not Started","Web"
